"Country_Name","Country_Code","Indicator_Name","Indicator_Code","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Austria","AUT","GDP per capita (current US$)","NY.GDP.PCAP.CD",46858.04327,51374.95841,48567.69529,50716.70871,51717.49594,44178.04738,45276.83144,47426.51196,51478.28526,50137.66278,NA
"Belgium","BEL","GDP per capita (current US$)","NY.GDP.PCAP.CD",44141.87814,47348.52502,44673.11588,46744.66254,47700.54036,40991.80814,41984.10303,44192.62303,47583.07494,46420.66377,NA
"Bulgaria","BGR","GDP per capita (current US$)","NY.GDP.PCAP.CD",6812.406338,7809.425062,7395.849803,7655.129708,7876.866465,7055.935673,7548.855007,8334.081728,9427.73043,9828.148515,NA
"Switzerland","CHE","GDP per capita (current US$)","NY.GDP.PCAP.CD",74605.72108,88415.62803,83538.23003,85112.4644,86605.56338,82081.59716,80172.23209,80449.99451,82818.10816,81993.72713,NA
"Cyprus","CYP","GDP per capita (current US$)","NY.GDP.PCAP.CD",31023.63833,32396.38574,28912.15694,27729.1927,27129.62612,23333.71491,24532.51906,26338.69434,28689.70672,27858.371,NA
"Czech Republic","CZE","GDP per capita (current US$)","NY.GDP.PCAP.CD",19960.06849,21871.26608,19870.80121,20133.16914,19890.91991,17829.69832,18575.23203,20636.19995,23415.84363,23494.5962,NA
"Germany","DEU","GDP per capita (current US$)","NY.GDP.PCAP.CD",41531.9342,46644.77603,43858.36306,46285.76407,47959.99327,41086.72967,42107.51727,44552.81937,47810.50767,46445.2491,NA
"Denmark","DNK","GDP per capita (current US$)","NY.GDP.PCAP.CD",58041.39844,61753.64713,58507.50805,61191.1937,62548.98473,53254.85637,54663.99837,57610.09818,61598.5367,60170.34264,NA
"Spain","ESP","GDP per capita (current US$)","NY.GDP.PCAP.CD",30502.71971,31636.44631,28324.42934,29059.54795,29461.55033,25732.01836,26505.34322,28170.16786,30389.36099,29600.37825,NA
"Estonia","EST","GDP per capita (current US$)","NY.GDP.PCAP.CD",14790.82092,17621.54796,17534.42135,19174.10033,20367.10316,17522.23019,18437.25282,20458.46073,23170.70738,23723.30611,NA
"European Union","EUU","GDP per capita (current US$)","NY.GDP.PCAP.CD",32939.9954,35721.53221,33159.11101,34563.74263,35242.19074,30469.62439,31172.22864,33080.91864,35733.716,34913.19156,NA
"Finland","FIN","GDP per capita (current US$)","NY.GDP.PCAP.CD",46459.97325,51081.99767,47710.79022,49878.04324,50260.29986,42784.69836,43784.28396,46336.66325,50030.87731,48782.78848,NA
"France","FRA","GDP per capita (current US$)","NY.GDP.PCAP.CD",40638.334,43790.73205,40874.70351,42592.93409,43011.2631,36638.18493,37037.37419,38812.16103,41631.09074,40493.92857,NA
"United Kingdom","GBR","GDP per capita (current US$)","NY.GDP.PCAP.CD",39435.8399,42038.57225,42462.77157,43444.533,47425.60768,44974.83188,41064.13343,40361.41738,43043.22782,42330.11754,NA
"Greece","GRC","GDP per capita (current US$)","NY.GDP.PCAP.CD",26917.75895,25916.29349,22242.68195,21874.81947,21760.97975,18167.77373,18116.45965,18930.21863,20324.30499,19582.53598,NA
"Croatia","HRV","GDP per capita (current US$)","NY.GDP.PCAP.CD",13949.3265,14609.52435,13258.35985,13674.4178,13599.40978,11781.73479,12361.48383,13451.62495,15014.08502,14936.10055,NA
"Hungary","HUN","GDP per capita (current US$)","NY.GDP.PCAP.CD",13191.62126,14216.16561,12950.68652,13687.51406,14267.01215,12706.89121,13090.50673,14605.85435,16410.18726,16731.82151,NA
"Ireland","IRL","GDP per capita (current US$)","NY.GDP.PCAP.CD",48715.17691,51848.9097,48917.89761,51590.18859,55492.98256,61995.4228,63197.0824,69822.34708,78621.22793,78660.95646,NA
"Israel","ISR","GDP per capita (current US$)","NY.GDP.PCAP.CD",30693.59306,33669.24648,32511.23785,36309.46883,37678.88977,35776.79516,37321.62404,40541.86209,41719.72544,43592.08358,NA
"Italy","ITA","GDP per capita (current US$)","NY.GDP.PCAP.CD",36000.52012,38599.06221,35053.52624,35549.9747,35518.41529,30230.2263,30939.71425,32406.72032,34615.75689,33228.23668,NA
"Lithuania","LTU","GDP per capita (current US$)","NY.GDP.PCAP.CD",11990.66302,14392.53426,14373.06052,15726.62683,16564.95655,14258.22933,14998.12506,16885.40739,19176.17652,19601.89083,NA
"Luxembourg","LUX","GDP per capita (current US$)","NY.GDP.PCAP.CD",104965.3061,115761.5077,106749.0136,113625.1329,118823.6484,101376.4966,104278.391,107627.151,116654.2611,114704.5942,NA
"Latvia","LVA","GDP per capita (current US$)","NY.GDP.PCAP.CD",11383.52241,13895.16257,13926.34731,15120.78189,15713.53697,13774.60527,14315.79289,15682.22145,17858.27998,17828.89466,NA
"Malta","MLT","GDP per capita (current US$)","NY.GDP.PCAP.CD",21799.17439,23155.55477,22527.63686,24771.07668,26754.26859,24921.60357,25617.82691,28091.86165,30437.22151,29820.60325,NA
"Netherlands","NLD","GDP per capita (current US$)","NY.GDP.PCAP.CD",50950.03434,54159.34661,50073.00566,52184.06185,52830.17423,45175.23189,46007.85292,48675.22234,53044.53244,52331.31673,NA
"Norway","NOR","GDP per capita (current US$)","NY.GDP.PCAP.CD",87693.79007,100600.5624,101524.1419,102913.4508,97019.18275,74355.51586,70459.1825,75496.75406,81734.46557,75419.63487,NA
"Poland","POL","GDP per capita (current US$)","NY.GDP.PCAP.CD",12613.011,13879.56099,13097.27085,13696.4663,14271.30585,12578.49547,12447.43959,13864.68176,15468.48222,15692.50703,NA
"Portugal","PRT","GDP per capita (current US$)","NY.GDP.PCAP.CD",22498.69086,23186.91313,20564.88986,21647.04181,22074.30076,19242.36647,19978.40121,21490.42986,23562.55452,23252.05852,NA
"Romania","ROU","GDP per capita (current US$)","NY.GDP.PCAP.CD",8214.076893,9099.217539,8507.104775,9547.852151,10043.67745,8969.148921,9548.587403,10807.79539,12399.88934,12919.52964,NA
"Slovak Republic","SVK","GDP per capita (current US$)","NY.GDP.PCAP.CD",16750.79744,18361.56948,17481.89544,18260.01577,18674.34406,16310.98841,16508.67036,17556.60082,19406.34753,19266.2755,NA
"Slovenia","SVN","GDP per capita (current US$)","NY.GDP.PCAP.CD",23509.54314,25095.13229,22643.10025,23496.6025,24214.92207,20881.76693,21663.64341,23512.81727,26115.91337,25946.18219,NA
"Turkey","TUR","GDP per capita (current US$)","NY.GDP.PCAP.CD",10742.43007,11420.77326,11795.31671,12614.48026,12157.33796,11006.24974,10895.31869,10591.47437,9455.593654,9126.561346,NA
